,Player,Span_ODI_bowl,Mat_ODI_bowl,Inns_ODI_bowl,Balls_del_ODI,Runs_given_ODI,Wkts_ODI,Ave_ODI_bowl,Econ_ODI,SR_ODI_bowl,4_W_ODI,5_W_ODI,Start_year_ODI_bowl,End_year_ODI_bowl,best_wkts_ODI,best_runs_given_ODI
1886,RP Alexander (USA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2004,2004,0,0
1887,MJD Allingham (SCOT),0,3,0,0,0,0,0.0,0.0,0.0,0,0,1999,1999,0,0
1888,Al Sahariar (BDESH),4,29,0,0,0,0,0.0,0.0,0.0,0,0,1999,2003,0,0
1889,S Amarnath (INDIA),0,3,0,0,0,0,0.0,0.0,0.0,0,0,1978,1978,0,0
1890,SW Ambris (WI),2,9,0,0,0,0,0.0,0.0,0.0,0,0,2017,2019,0,0
1891,TR Ambrose (ENG),0,5,0,0,0,0,0.0,0.0,0.0,0,0,2008,2008,0,0
1892,DL Amiss (ENG),5,18,0,0,0,0,0.0,0.0,0.0,0,0,1972,1977,0,0
1893,Amjad Ali (UAE),7,17,0,0,0,0,0.0,0.0,0.0,0,0,2008,2015,0,0
1894,HM Amla (SA),11,181,0,0,0,0,0.0,0.0,0.0,0,0,2008,2019,0,0
1895,Anamul Haque (BDESH),7,38,0,0,0,0,0.0,0.0,0.0,0,0,2012,2019,0,0
1896,RW Anderson (NZ),2,2,0,0,0,0,0.0,0.0,0.0,0,0,1976,1978,0,0
1897,Anil Dalpat (PAK),2,15,0,0,0,0,0.0,0.0,0.0,0,0,1984,1986,0,0
1898,Ankur Vasishta (HKG),0,4,0,0,0,0,0.0,0.0,0.0,0,0,2014,2014,0,0
1899,ZS Ansari (ENG),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2015,2015,0,0
1900,Anwar Hossain (BDESH),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2002,2002,0,0
1901,V Aravind (UAE),0,3,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
1902,KJ Arnott (ZIM),6,13,0,0,0,0,0.0,0.0,0.0,0,0,1987,1993,0,0
1903,Arshad Pervez (PAK),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1978,1978,0,0
1904,J Arun Lal (INDIA),7,13,0,0,0,0,0.0,0.0,0.0,0,0,1982,1989,0,0
1905,Asghar Ali (UAE),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2004,2004,0,0
1906,Ashraf Ali (PAK),5,16,0,0,0,0,0.0,0.0,0.0,0,0,1980,1985,0,0
1907,Asif Mahmood (PAK),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1998,1998,0,0
1908,SK Atai (PNG),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
1909,MA Atherton (ENG),8,54,0,0,0,0,0.0,0.0,0.0,0,0,1990,1998,0,0
1910,Atiq-uz-Zaman (PAK),0,3,0,0,0,0,0.0,0.0,0.0,0,0,2000,2000,0,0
1911,JJ Atkinson (HKG),9,9,0,0,0,0,0.0,0.0,0.0,0,0,2008,2017,0,0
1912,Azam Khan (PAK),2,6,0,0,0,0,0.0,0.0,0.0,0,0,1996,1998,0,0
1913,Azmat Rana (PAK),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1978,1978,0,0
1914,SJ Baard (NAM),0,5,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
1915,Babar Azam (PAK),4,74,0,0,0,0,0.0,0.0,0.0,0,0,2015,2019,0,0
1916,SFAF Bacchus (WI),5,29,0,0,0,0,0.0,0.0,0.0,0,0,1978,1983,0,0
1917,S Badrinath (INDIA),3,7,0,0,0,0,0.0,0.0,0.0,0,0,2008,2011,0,0
1918,A Bagai (CAN),10,62,0,0,0,0,0.0,0.0,0.0,0,0,2003,2013,0,0
1919,GJ Bailey (AUS),4,90,0,0,0,0,0.0,0.0,0.0,0,0,2012,2016,0,0
1920,MD Bailey (NZ),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1998,1998,0,0
1921,DL Bairstow (ENG),5,21,0,0,0,0,0.0,0.0,0.0,0,0,1979,1984,0,0
1922,JM Bairstow (ENG),8,74,0,0,0,0,0.0,0.0,0.0,0,0,2011,2019,0,0
1923,S Baksh (CAN),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1979,1979,0,0
1924,GS Ballance (ENG),2,16,0,0,0,0,0.0,0.0,0.0,0,0,2013,2015,0,0
1925,AB Barath (WI),2,14,0,0,0,0,0.0,0.0,0.0,0,0,2010,2012,0,0
1926,GD Barlow (ENG),1,6,0,0,0,0,0.0,0.0,0.0,0,0,1976,1977,0,0
1927,GEF Barnett (CAN),4,22,0,0,0,0,0.0,0.0,0.0,0,0,2006,2010,0,0
1928,KJ Barnett (ENG),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1988,1988,0,0
1929,DM Basden (BMUDA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2007,2007,0,0
1930,IPP Batuwitarachchi (UAE),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2008,2008,0,0
1931,D Bau (PNG),1,10,0,0,0,0,0.0,0.0,0.0,0,0,2016,2017,0,0
1932,CS Baugh (WI),9,47,0,0,0,0,0.0,0.0,0.0,0,0,2003,2012,0,0
1933,T Bavuma (SA),1,2,0,0,0,0,0.0,0.0,0.0,0,0,2016,2017,0,0
1934,AC Bedade (INDIA),0,13,0,0,0,0,0.0,0.0,0.0,0,0,1994,1994,0,0
1935,MD Bell (NZ),3,7,0,0,0,0,0.0,0.0,0.0,0,0,1998,2001,0,0
1936,MR Benson (ENG),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1986,1986,0,0
1937,AR Berenger (UAE),1,10,0,0,0,0,0.0,0.0,0.0,0,0,2014,2015,0,0
1938,B Bhandari (NEPAL),0,3,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
1939,M Bhanuka (SL),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
1940,RA Bhatti (CAN),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2011,2011,0,0
1941,IS Billcliff (CAN),6,19,0,0,0,0,0.0,0.0,0.0,0,0,2003,2009,0,0
1942,SW Billings (ENG),3,15,0,0,0,0,0.0,0.0,0.0,0,0,2015,2018,0,0
1943,GA Bishop (AUS),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1987,1987,0,0
1944,TE Blain (NZ),8,38,0,0,0,0,0.0,0.0,0.0,0,0,1986,1994,0,0
1945,G Blakeney (BMUDA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2009,2009,0,0
1946,RJ Blakey (ENG),1,3,0,0,0,0,0.0,0.0,0.0,0,0,1992,1993,0,0
1947,LE Bosman (Afr/SA),4,14,0,0,0,0,0.0,0.0,0.0,0,0,2006,2010,0,0
1948,MV Boucher (Afr/SA),13,295,0,0,0,0,0.0,0.0,0.0,0,0,1998,2011,0,0
1949,DM Bravo (WI),10,110,0,0,0,0,0.0,0.0,0.0,0,0,2009,2019,0,0
1950,JP Bray (IRE),1,15,0,0,0,0,0.0,0.0,0.0,0,0,2006,2007,0,0
1951,JM Brearley (ENG),3,25,0,0,0,0,0.0,0.0,0.0,0,0,1977,1980,0,0
1952,GA Briant (ZIM),0,5,0,0,0,0,0.0,0.0,0.0,0,0,1993,1993,0,0
1953,NT Broom (NZ),8,39,0,0,0,0,0.0,0.0,0.0,0,0,2009,2017,0,0
1954,RD Brown (ZIM),4,7,0,0,0,0,0.0,0.0,0.0,0,0,1983,1987,0,0
1955,CO Browne (WI),10,46,0,0,0,0,0.0,0.0,0.0,0,0,1995,2005,0,0
1956,PA Browne (WI),0,5,0,0,0,0,0.0,0.0,0.0,0,0,2008,2008,0,0
1957,DG Brownlie (NZ),5,16,0,0,0,0,0.0,0.0,0.0,0,0,2012,2017,0,0
1958,GK Bruk-Jackson (ZIM),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1993,1993,0,0
1959,JA Burns (AUS),0,6,0,0,0,0,0.0,0.0,0.0,0,0,2015,2015,0,0
1960,AR Butcher (ENG),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1980,1980,0,0
1961,RO Butcher (ENG),1,3,0,0,0,0,0.0,0.0,0.0,0,0,1980,1981,0,0
1962,JC Buttler (ENG),7,142,0,0,0,0,0.0,0.0,0.0,0,0,2012,2019,0,0
1963,AF Buurman (NL),4,17,0,0,0,0,0.0,0.0,0.0,0,0,2007,2011,0,0
1964,RJ Campbell (AUS),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2002,2002,0,0
1965,AT Carey (AUS),1,29,0,0,0,0,0.0,0.0,0.0,0,0,2018,2019,0,0
1966,SV Carlisle (ZIM),10,111,0,0,0,0,0.0,0.0,0.0,0,0,1995,2005,0,0
1967,C Carter (HKG),3,11,0,0,0,0,0.0,0.0,0.0,0,0,2015,2018,0,0
1968,HWR Cartwright (AUS),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2017,2017,0,0
1969,JJ Celestine (BMUDA),1,8,0,0,0,0,0.0,0.0,0.0,0,0,2007,2008,0,0
1970,RW Chakabva (ZIM),11,38,0,0,0,0,0.0,0.0,0.0,0,0,2008,2019,0,0
1971,LD Chandimal (SL),9,146,0,0,0,0,0.0,0.0,0.0,0,0,2010,2019,0,0
1972,VB Chandrasekhar (INDIA),2,7,0,0,0,0,0.0,0.0,0.0,0,0,1988,1990,0,0
1973,MS Chapman (HKG/NZ),3,5,0,0,0,0,0.0,0.0,0.0,0,0,2015,2018,0,0
1974,CJD Chappell (CAN),0,3,0,0,0,0,0.0,0.0,0.0,0,0,1979,1979,0,0
1975,BB Chari (ZIM),4,11,0,0,0,0,0.0,0.0,0.0,0,0,2015,2019,0,0
1976,CPS Chauhan (INDIA),3,7,0,0,0,0,0.0,0.0,0.0,0,0,1978,1981,0,0
1977,M Cheruparambil (HKG),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2004,2004,0,0
1978,Chirag Suri (UAE),1,14,0,0,0,0,0.0,0.0,0.0,0,0,2018,2019,0,0
1979,DN Chudasama (KENYA),3,20,0,0,0,0,0.0,0.0,0.0,0,0,1996,1999,0,0
1980,DR Chumney (CAN),4,21,0,0,0,0,0.0,0.0,0.0,0,0,2003,2007,0,0
1981,NE Clarke (NL),0,5,0,0,0,0,0.0,0.0,0.0,0,0,1996,1996,0,0
1982,FRJ Coleman (SCOT),2,16,0,0,0,0,0.0,0.0,0.0,0,0,2013,2015,0,0
1983,PG Coman (NZ),1,3,0,0,0,0,0.0,0.0,0.0,0,0,1973,1974,0,0
1984,AN Cook (ENG),8,92,0,0,0,0,0.0,0.0,0.0,0,0,2006,2014,0,0
1985,G Cook (ENG),2,6,0,0,0,0,0.0,0.0,0.0,0,0,1981,1983,0,0
1986,SJ Cook (SA),2,4,0,0,0,0,0.0,0.0,0.0,0,0,1991,1993,0,0
1987,BN Cooper (NL),6,8,0,0,0,0,0.0,0.0,0.0,0,0,2013,2019,0,0
1988,CK Coventry (ZIM),12,39,0,0,0,0,0.0,0.0,0.0,0,0,2003,2015,0,0
1989,MC Cowdrey (ENG),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1971,1971,0,0
1990,RT Crandon (WI),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2009,2009,0,0
1991,JP Crawley (ENG),5,13,0,0,0,0,0.0,0.0,0.0,0,0,1994,1999,0,0
1992,FS Crockwell (BMUDA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2009,2009,0,0
1993,MH Cross (SCOT),5,52,0,0,0,0,0.0,0.0,0.0,0,0,2014,2019,0,0
1994,V Dahiya (INDIA),1,19,0,0,0,0,0.0,0.0,0.0,0,0,2000,2001,0,0
1995,WM Darling (AUS),4,18,0,0,0,0,0.0,0.0,0.0,0,0,1978,1982,0,0
1996,SS Das (INDIA),1,4,0,0,0,0,0.0,0.0,0.0,0,0,2001,2002,0,0
1997,D Dasgupta (INDIA),0,5,0,0,0,0,0.0,0.0,0.0,0,0,2001,2001,0,0
1998,PB Dassanayake (SL),1,16,0,0,0,0,0.0,0.0,0.0,0,0,1993,1994,0,0
1999,H Davids (SA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2013,2013,0,0
2000,AG Davies (SCOT),0,5,0,0,0,0,0.0,0.0,0.0,0,0,1999,1999,0,0
2001,SG Davies (ZIM),0,4,0,0,0,0,0.0,0.0,0.0,0,0,1996,1996,0,0
2002,SM Davies (ENG),2,8,0,0,0,0,0.0,0.0,0.0,0,0,2009,2011,0,0
2003,IC Davis (AUS),3,3,0,0,0,0,0.0,0.0,0.0,0,0,1974,1977,0,0
2004,JJ Dawood (CAN),1,2,0,0,0,0,0.0,0.0,0.0,0,0,2009,2010,0,0
2005,RG de Alwis (SL),5,31,0,0,0,0,0.0,0.0,0.0,0,0,1983,1988,0,0
2006,Q de Kock (SA),6,115,0,0,0,0,0.0,0.0,0.0,0,0,2013,2019,0,0
2007,MH Denness (ENG),2,12,0,0,0,0,0.0,0.0,0.0,0,0,1973,1975,0,0
2008,FA Dennis (CAN),0,3,0,0,0,0,0.0,0.0,0.0,0,0,1979,1979,0,0
2009,JH Desai (USA),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2004,2004,0,0
2010,SI de Saram (SL),2,15,0,0,0,0,0.0,0.0,0.0,0,0,1999,2001,0,0
2011,AM de Silva (SL),7,4,0,0,0,0,0.0,0.0,0.0,0,0,1986,1993,0,0
2012,SKL de Silva (SL),0,11,0,0,0,0,0.0,0.0,0.0,0,0,1997,1997,0,0
2013,P Dharmani (INDIA),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1996,1996,0,0
2014,S Dhawan (INDIA),9,133,0,0,0,0,0.0,0.0,0.0,0,0,2010,2019,0,0
2015,HS Dhillon (CAN),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2006,2006,0,0
2016,Dhiman Ghosh (BDESH),0,14,0,0,0,0,0.0,0.0,0.0,0,0,2008,2008,0,0
2017,N Dickwella (SL),5,52,0,0,0,0,0.0,0.0,0.0,0,0,2014,2019,0,0
2018,WP Diepeveen (NL),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2011,2011,0,0
2019,SS Dighe (INDIA),1,23,0,0,0,0,0.0,0.0,0.0,0,0,2000,2001,0,0
2020,HH Dippenaar (Afr/SA),8,107,0,0,0,0,0.0,0.0,0.0,0,0,1999,2007,0,0
2021,MJ Di Venuto (AUS),0,9,0,0,0,0,0.0,0.0,0.0,0,0,1997,1997,0,0
2022,K Doriga (PNG),2,14,0,0,0,0,0.0,0.0,0.0,0,0,2017,2019,0,0
2023,CRM Douglas (BMUDA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2008,2008,0,0
2024,MW Douglas (NZ),1,6,0,0,0,0,0.0,0.0,0.0,0,0,1994,1995,0,0
2025,TM Dowlin (WI),1,11,0,0,0,0,0.0,0.0,0.0,0,0,2009,2010,0,0
2026,PR Downton (ENG),11,28,0,0,0,0,0.0,0.0,0.0,0,0,1977,1988,0,0
2027,SO Dowrich (WI),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
2028,BM Duckett (ENG),0,3,0,0,0,0,0.0,0.0,0.0,0,0,2016,2016,0,0
2029,T Duffin (ZIM),1,23,0,0,0,0,0.0,0.0,0.0,0,0,2006,2007,0,0
2030,PJL Dujon (WI),10,169,0,0,0,0,0.0,0.0,0.0,0,0,1981,1991,0,0
2031,CI Dunusinghe (SL),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1995,1995,0,0
2032,GC Dyer (AUS),2,23,0,0,0,0,0.0,0.0,0.0,0,0,1986,1988,0,0
2033,J Dyson (AUS),3,29,0,0,0,0,0.0,0.0,0.0,0,0,1980,1983,0,0
2034,J Edness (BMUDA),1,11,0,0,0,0,0.0,0.0,0.0,0,0,2007,2008,0,0
2035,JH Edrich (ENG),4,7,0,0,0,0,0.0,0.0,0.0,0,0,1971,1975,0,0
2036,KA Edwards (WI),3,16,0,0,0,0,0.0,0.0,0.0,0,0,2011,2014,0,0
2037,R Edwards (AUS),3,9,0,0,0,0,0.0,0.0,0.0,0,0,1972,1975,0,0
2038,SA Edwards (NL),1,4,0,0,0,0,0.0,0.0,0.0,0,0,2018,2019,0,0
2039,MTG Elliott (AUS),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1997,1997,0,0
2040,PA Emery (AUS),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1994,1994,0,0
2041,FM Engineer (INDIA),1,5,0,0,0,0,0.0,0.0,0.0,0,0,1974,1975,0,0
2042,CR Ervine (ZIM),9,93,0,0,0,0,0.0,0.0,0.0,0,0,2010,2019,0,0
2043,EA Essop-Adam (ZIM),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1992,1992,0,0
2044,Fahad Nawaz (UAE),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
2045,Fahad Usman (UAE),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2004,2004,0,0
2046,Faisal Athar (PAK),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2003,2003,0,0
2047,Faruk Ahmed (BDESH),11,7,0,0,0,0,0.0,0.0,0.0,0,0,1988,1999,0,0
2048,FY Fazal (INDIA),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2016,2016,0,0
2049,CJ Ferguson (AUS),2,30,0,0,0,0,0.0,0.0,0.0,0,0,2009,2011,0,0
2050,N Fernandes (UAE),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2008,2008,0,0
2051,ER Fernando (SL),0,3,0,0,0,0,0.0,0.0,0.0,0,0,1975,1975,0,0
2052,ERNS Fernando (SL),0,7,0,0,0,0,0.0,0.0,0.0,0,0,1983,1983,0,0
2053,UNK Fernando (SL),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1994,1994,0,0
2054,WIA Fernando (SL),3,15,0,0,0,0,0.0,0.0,0.0,0,0,2016,2019,0,0
2055,J Figy John (UAE),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
2056,SE Findlay (WI),1,9,0,0,0,0,0.0,0.0,0.0,0,0,2008,2009,0,0
2057,R Flannigan (SCOT),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2010,2010,0,0
2058,KWR Fletcher (ENG),11,24,0,0,0,0,0.0,0.0,0.0,0,0,1971,1982,0,0
2059,BT Foakes (ENG),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
2060,PJ Forrest (AUS),0,15,0,0,0,0,0.0,0.0,0.0,0,0,2012,2012,0,0
2061,JS Foster (ENG),1,11,0,0,0,0,0.0,0.0,0.0,0,0,2001,2002,0,0
2062,G Fowler (ENG),3,26,0,0,0,0,0.0,0.0,0.0,0,0,1983,1986,0,0
2063,TJ Franklin (NZ),5,3,0,0,0,0,0.0,0.0,0.0,0,0,1983,1988,0,0
2064,BN French (ENG),3,13,0,0,0,0,0.0,0.0,0.0,0,0,1985,1988,0,0
2065,PG Fulton (NZ),5,49,0,0,0,0,0.0,0.0,0.0,0,0,2004,2009,0,0
2066,RS Gabriel (WI),0,11,0,0,0,0,0.0,0.0,0.0,0,0,1984,1984,0,0
2067,DJ Gandhi (INDIA),1,3,0,0,0,0,0.0,0.0,0.0,0,0,1999,2000,0,0
2068,HJW Gardiner (SCOT),2,11,0,0,0,0,0.0,0.0,0.0,0,0,2013,2015,0,0
2069,LV Garrick (WI),0,3,0,0,0,0,0.0,0.0,0.0,0,0,2001,2001,0,0
2070,LK Germon (NZ),3,37,0,0,0,0,0.0,0.0,0.0,0,0,1994,1997,0,0
2071,Ghulam Ali (PAK),2,3,0,0,0,0,0.0,0.0,0.0,0,0,1993,1995,0,0
2072,Ghulam Shabber (UAE),2,23,0,0,0,0,0.0,0.0,0.0,0,0,2017,2019,0,0
2073,T Gibbons (BMUDA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2006,2006,0,0
2074,HH Gibbs (SA),14,248,0,0,0,0,0.0,0.0,0.0,0,0,1996,2010,0,0
2075,AC Gilchrist (AUS/ICC),12,287,0,0,0,0,0.0,0.0,0.0,0,0,1996,2008,0,0
2076,PG Gillespie (IRE),1,5,0,0,0,0,0.0,0.0,0.0,0,0,2006,2007,0,0
2077,DM Gondaria (KENYA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2013,2013,0,0
2078,HM Goonatilleke (SL),0,6,0,0,0,0,0.0,0.0,0.0,0,0,1982,1982,0,0
2079,IJ Gould (ENG),0,18,0,0,0,0,0.0,0.0,0.0,0,0,1983,1983,0,0
2080,ZE Green (NAM),0,5,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
2081,AE Greenidge (WI),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1978,1978,0,0
2082,AFG Griffith (WI),4,9,0,0,0,0,0.0,0.0,0.0,0,0,1996,2000,0,0
2083,R Gunasekera (CAN),6,19,0,0,0,0,0.0,0.0,0.0,0,0,2008,2014,0,0
2084,AAW Gunawardena (SL),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1994,1994,0,0
2085,DA Gunawardene (SL),8,61,0,0,0,0,0.0,0.0,0.0,0,0,1998,2006,0,0
2086,SK Gupta (KENYA),5,10,0,0,0,0,0.0,0.0,0.0,0,0,1996,2001,0,0
2087,Gurdeep Singh (KENYA),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2013,2013,0,0
2088,Gursharan Singh (INDIA),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1990,1990,0,0
2089,BJ Haddin (AUS),14,126,0,0,0,0,0.0,0.0,0.0,0,0,2001,2015,0,0
2090,BG Hadlee (NZ),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1975,1975,0,0
2091,Hafizur Rahman (BDESH),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1986,1986,0,0
2092,RS Haire (IRE),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2008,2008,0,0
2093,OJ Hairs (SCOT),0,5,0,0,0,0,0.0,0.0,0.0,0,0,2010,2010,0,0
2094,AD Hales (ENG),5,70,0,0,0,0,0.0,0.0,0.0,0,0,2014,2019,0,0
2095,JD Hall (IRE),0,3,0,0,0,0,0.0,0.0,0.0,0,0,2010,2010,0,0
2096,JH Hampshire (ENG),1,3,0,0,0,0,0.0,0.0,0.0,0,0,1971,1972,0,0
2097,Hamza Tariq (CAN),3,7,0,0,0,0,0.0,0.0,0.0,0,0,2011,2014,0,0
2098,PSP Handscomb (AUS),2,22,0,0,0,0,0.0,0.0,0.0,0,0,2017,2019,0,0
2099,Harilal Shah (EAf),0,3,0,0,0,0,0.0,0.0,0.0,0,0,1975,1975,0,0
2100,Haroon Rasheed (PAK),5,12,0,0,0,0,0.0,0.0,0.0,0,0,1977,1982,0,0
2101,JV Harris (CAN),0,6,0,0,0,0,0.0,0.0,0.0,0,0,2003,2003,0,0
2102,RG Hart (NZ),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2002,2002,0,0
2103,RT Hart (NZ),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1985,1985,0,0
2104,BR Hartland (NZ),2,16,0,0,0,0,0.0,0.0,0.0,0,0,1992,1994,0,0
2105,Harunur Rashid (BDESH),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1988,1988,0,0
2106,Hasan Raza (PAK),3,16,0,0,0,0,0.0,0.0,0.0,0,0,1996,1999,0,0
2107,BF Hastings (NZ),2,11,0,0,0,0,0.0,0.0,0.0,0,0,1973,1975,0,0
2108,FC Hayes (ENG),2,6,0,0,0,0,0.0,0.0,0.0,0,0,1973,1975,0,0
2109,Hazratullah Zazai (AFG),1,16,0,0,0,0,0.0,0.0,0.0,0,0,2018,2019,0,0
2110,RGA Headley (WI),0,1,0,0,0,0,0.0,0.0,0.0,0,0,1973,1973,0,0
2111,IA Healy (AUS),9,168,0,0,0,0,0.0,0.0,0.0,0,0,1988,1997,0,0
2112,SP Heaney (CAN),0,4,0,0,0,0,0.0,0.0,0.0,0,0,2006,2006,0,0
2113,SD Heazlett (AUS),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2017,2017,0,0
2114,JG Heron (ZIM),0,6,0,0,0,0,0.0,0.0,0.0,0,0,1983,1983,0,0
2115,SO Hetmyer (WI),2,43,0,0,0,0,0.0,0.0,0.0,0,0,2017,2019,0,0
2116,PD Heyn (SL),0,2,0,0,0,0,0.0,0.0,0.0,0,0,1975,1975,0,0
2117,AMJ Hilditch (AUS),6,8,0,0,0,0,0.0,0.0,0.0,0,0,1979,1985,0,0
2118,RIC Holder (WI),4,37,0,0,0,0,0.0,0.0,0.0,0,0,1993,1997,0,0
2119,KA Hope (WI),0,7,0,0,0,0,0.0,0.0,0.0,0,0,2017,2017,0,0
2120,SD Hope (WI),3,72,0,0,0,0,0.0,0.0,0.0,0,0,2016,2019,0,0
2121,GJ Hopkins (NZ),6,25,0,0,0,0,0.0,0.0,0.0,0,0,2004,2010,0,0
2122,MJ Horne (NZ),5,50,0,0,0,0,0.0,0.0,0.0,0,0,1997,2002,0,0
2123,PA Horne (NZ),0,4,0,0,0,0,0.0,0.0,0.0,0,0,1987,1987,0,0
2124,JM How (NZ),6,41,0,0,0,0,0.0,0.0,0.0,0,0,2005,2011,0,0
2125,LG Howell (NZ),0,12,0,0,0,0,0.0,0.0,0.0,0,0,1998,1998,0,0
2126,PJ Hughes (AUS),1,25,0,0,0,0,0.0,0.0,0.0,0,0,2013,2014,0,0
2127,Humayun Farhat (PAK),0,5,0,0,0,0,0.0,0.0,0.0,0,0,2001,2001,0,0
2128,GW Humpage (ENG),0,3,0,0,0,0,0.0,0.0,0.0,0,0,1981,1981,0,0
2129,N Hussain (ENG),14,88,0,0,0,0,0.0,0.0,0.0,0,0,1989,2003,0,0
2130,RO Hussain (SCOT),4,8,0,0,0,0,0.0,0.0,0.0,0,0,2006,2010,0,0
2131,KH Butt (HKG),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2008,2008,0,0
2132,DP Hyatt (WI),0,9,0,0,0,0,0.0,0.0,0.0,0,0,2011,2011,0,0
2133,Ibrahim Zadran (AFG),0,1,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
2134,Ihsanullah (AFG),1,16,0,0,0,0,0.0,0.0,0.0,0,0,2017,2018,0,0
2135,Ikram Alikhil (AFG),0,12,0,0,0,0,0.0,0.0,0.0,0,0,2019,2019,0,0
2136,Imam-ul-Haq (PAK),2,37,0,0,0,0,0.0,0.0,0.0,0,0,2017,2019,0,0
2137,Imran Abbas (PAK),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2000,2000,0,0
2138,Imrul Kayes (BDESH),10,78,0,0,0,0,0.0,0.0,0.0,0,0,2008,2018,0,0
2139,Imtiaz Abbasi (UAE),2,7,0,0,0,0,0.0,0.0,0.0,0,0,1994,1996,0,0
2140,PJ Ingram (NZ),0,8,0,0,0,0,0.0,0.0,0.0,0,0,2010,2010,0,0
2141,IT Iqbal (KENYA),0,3,0,0,0,0,0.0,0.0,0.0,0,0,1996,1996,0,0
2142,RD Jacobs (WI),8,147,0,0,0,0,0.0,0.0,0.0,0,0,1996,2004,0,0
2143,W Jaffer (INDIA),0,2,0,0,0,0,0.0,0.0,0.0,0,0,2006,2006,0,0
2144,Jahangir Alam (BDESH),2,3,0,0,0,0,0.0,0.0,0.0,0,0,1997,1999,0,0
2145,Jahurul Islam (BDESH),3,14,0,0,0,0,0.0,0.0,0.0,0,0,2010,2013,0,0
2146,WR James (ZIM),4,11,0,0,0,0,0.0,0.0,0.0,0,0,1992,1996,0,0
2147,PA Jaques (AUS),1,6,0,0,0,0,0.0,0.0,0.0,0,0,2006,2007,0,0
